score,emotion,country,D
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
10,Happy,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
8,Powerful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
6,Peaceful,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
4,Anxious,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
2,Angry,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
0,Sad,India,IN        
