score,emotion,country,D
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
10,Happy,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
8,Powerful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
6,Peaceful,Italy,IT        
