score,emotion,country,D
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
10,Happy,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
8,Powerful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
6,Peaceful,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
4,Anxious,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
2,Angry,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
0,Sad,Japan,JP        
