score,emotion,country,D
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
10,Happy,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
8,Powerful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
6,Peaceful,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
4,Anxious,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
2,Angry,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
0,Sad,Lithuania,LT        
