score,emotion,country,D
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
10,Happy,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
8,Powerful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
6,Peaceful,Netherlands,NL        
