score,emotion,country,D
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
10,Happy,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
8,Powerful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
6,Peaceful,New Zealand,NZ        
