score,emotion,country,D
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
10,Happy,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
8,Powerful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
6,Peaceful,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
4,Anxious,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
2,Angry,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
0,Sad,Spain,ES        
