score,emotion,country,D
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
10,Happy,United States,US        
